sensor_type,temperature,humidity,soilMoisture,lightIntensity,timestamp
oyster,28.9,95.2,19.0,63.0,2024-12-29 08:45:33.728
oyster,28.9,95.0,19.0,62.0,2024-12-29 08:45:39.159
oyster,28.9,95.1,19.0,63.0,2024-12-29 08:45:44.644
oyster,28.9,95.0,18.0,62.0,2024-12-29 08:45:49.778
oyster,28.9,95.0,18.0,61.0,2024-12-29 08:45:55.446
oyster,28.9,95.0,18.0,62.0,2024-12-29 08:46:00.636
oyster,28.9,95.0,18.0,62.0,2024-12-29 08:46:05.986
oyster,29.0,95.1,19.0,62.0,2024-12-29 08:46:11.330
oyster,28.9,95.1,19.0,63.0,2024-12-29 08:46:16.572
oyster,28.9,95.1,19.0,63.0,2024-12-29 08:46:21.849
oyster,28.9,95.1,18.0,63.0,2024-12-29 08:46:28.389
oyster,28.9,95.1,19.0,64.0,2024-12-29 08:46:33.583
oyster,28.9,95.0,18.0,62.0,2024-12-29 08:46:39.139
oyster,28.9,95.1,19.0,63.0,2024-12-29 08:46:44.486
oyster,28.9,95.1,19.0,64.0,2024-12-29 08:46:49.839
oyster,28.9,95.1,19.0,64.0,2024-12-29 08:46:55.344
oyster,29.0,95.0,19.0,64.0,2024-12-29 08:47:00.501
oyster,28.9,95.1,19.0,64.0,2024-12-29 08:47:05.874
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:47:11.306
oyster,28.9,95.1,19.0,64.0,2024-12-29 08:47:16.619
oyster,29.0,95.2,19.0,63.0,2024-12-29 08:47:22.499
oyster,29.0,95.1,18.0,62.0,2024-12-29 08:47:27.973
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:47:33.452
oyster,29.0,95.1,18.0,62.0,2024-12-29 08:47:38.726
oyster,29.0,95.1,18.0,62.0,2024-12-29 08:47:45.644
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:47:51.082
oyster,29.0,95.1,18.0,61.0,2024-12-29 08:47:56.657
oyster,29.0,95.1,18.0,61.0,2024-12-29 08:48:02.394
oyster,29.0,95.0,18.0,63.0,2024-12-29 08:48:07.616
oyster,29.0,95.2,18.0,62.0,2024-12-29 08:48:12.990
oyster,28.9,95.0,18.0,62.0,2024-12-29 08:48:18.485
oyster,29.0,95.1,19.0,62.0,2024-12-29 08:48:23.831
oyster,29.0,95.0,18.0,63.0,2024-12-29 08:48:29.357
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:48:34.663
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:48:40.187
oyster,29.0,95.0,18.0,63.0,2024-12-29 08:48:45.808
oyster,29.0,95.1,18.0,61.0,2024-12-29 08:48:51.180
oyster,29.0,95.1,18.0,61.0,2024-12-29 08:48:56.504
oyster,29.0,95.0,18.0,63.0,2024-12-29 08:49:01.898
oyster,29.0,95.1,18.0,61.0,2024-12-29 08:49:07.555
oyster,29.0,94.9,18.0,61.0,2024-12-29 08:49:12.986
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:49:18.496
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:49:24.106
oyster,29.0,95.1,18.0,61.0,2024-12-29 08:49:29.455
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:49:34.968
oyster,29.0,95.1,18.0,61.0,2024-12-29 08:49:40.341
oyster,29.0,95.1,18.0,62.0,2024-12-29 08:49:45.616
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:49:51.288
oyster,29.0,95.1,18.0,61.0,2024-12-29 08:49:56.682
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:50:01.962
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:50:07.337
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:50:13.090
oyster,29.0,95.0,19.0,62.0,2024-12-29 08:50:18.382
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:50:23.732
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:50:29.077
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:50:34.493
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:50:40.197
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:50:45.677
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:50:51.253
oyster,29.0,95.0,19.0,62.0,2024-12-29 08:50:56.705
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:51:02.123
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:51:07.276
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:51:12.619
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:51:17.839
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:51:23.229
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:51:28.640
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:51:33.838
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:51:39.587
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:51:44.791
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:51:50.038
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:51:55.464
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:52:00.885
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:52:06.126
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:52:11.598
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:52:17.291
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:52:22.824
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:52:28.174
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:52:33.559
oyster,29.0,95.0,18.0,60.0,2024-12-29 08:52:38.802
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:52:44.074
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:52:49.448
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:52:54.731
oyster,29.0,94.8,18.0,61.0,2024-12-29 08:53:00.543
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:53:06.060
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:53:11.233
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:53:16.639
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:53:21.941
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:53:27.089
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:53:32.388
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:53:37.537
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:53:43.091
oyster,29.0,94.9,18.0,59.0,2024-12-29 08:53:48.923
oyster,29.0,95.0,18.0,60.0,2024-12-29 08:53:54.505
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:54:00.000
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:54:05.443
oyster,29.0,95.0,18.0,60.0,2024-12-29 08:54:11.000
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:54:16.374
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:54:21.657
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:54:26.856
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:54:32.145
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:54:37.378
oyster,29.0,95.0,19.0,61.0,2024-12-29 08:54:42.833
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:54:47.983
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:54:53.098
oyster,29.0,95.0,18.0,60.0,2024-12-29 08:54:58.276
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:55:03.481
oyster,29.0,95.0,18.0,60.0,2024-12-29 08:55:08.837
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:55:14.272
oyster,29.0,95.1,18.0,58.0,2024-12-29 08:55:19.510
oyster,29.0,95.1,18.0,58.0,2024-12-29 08:55:24.882
oyster,29.0,95.0,18.0,59.0,2024-12-29 08:55:30.039
oyster,29.0,95.0,18.0,59.0,2024-12-29 08:55:35.536
oyster,29.0,95.0,18.0,58.0,2024-12-29 08:55:42.267
oyster,29.0,95.1,18.0,57.0,2024-12-29 08:55:47.984
oyster,29.0,95.1,18.0,58.0,2024-12-29 08:56:03.599
oyster,29.0,95.1,18.0,57.0,2024-12-29 08:56:09.870
oyster,29.0,95.0,18.0,60.0,2024-12-29 08:56:15.705
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:56:21.205
oyster,29.1,95.1,18.0,58.0,2024-12-29 08:56:26.740
oyster,29.0,95.0,18.0,60.0,2024-12-29 08:56:32.258
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:56:37.457
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:56:42.702
oyster,29.0,95.1,18.0,59.0,2024-12-29 08:56:47.967
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:56:53.507
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:56:58.960
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:57:04.426
oyster,29.1,95.0,18.0,60.0,2024-12-29 08:57:09.789
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:57:15.208
oyster,29.0,94.9,18.0,61.0,2024-12-29 08:57:20.349
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:57:25.826
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:57:30.964
oyster,29.0,95.0,19.0,62.0,2024-12-29 08:57:36.271
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:57:41.428
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:57:46.598
oyster,29.0,94.8,18.0,62.0,2024-12-29 08:57:52.063
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:57:57.221
oyster,29.0,95.0,18.0,62.0,2024-12-29 08:58:02.619
oyster,29.0,95.1,18.0,60.0,2024-12-29 08:58:07.999
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:58:13.121
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:58:18.663
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:58:23.916
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:58:29.100
oyster,29.0,95.0,19.0,62.0,2024-12-29 08:58:34.369
oyster,29.0,94.8,18.0,62.0,2024-12-29 08:58:39.512
oyster,29.0,94.8,18.0,61.0,2024-12-29 08:58:44.860
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:58:50.601
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:58:56.073
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:59:01.236
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:59:06.465
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:59:11.602
oyster,29.0,95.0,18.0,61.0,2024-12-29 08:59:17.884
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:59:23.043
oyster,29.0,94.9,18.0,60.0,2024-12-29 08:59:28.210
oyster,29.0,94.9,18.0,61.0,2024-12-29 08:59:33.511
oyster,29.0,94.9,19.0,61.0,2024-12-29 08:59:38.670
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:59:43.936
oyster,29.0,95.0,21.0,65.0,2024-12-29 08:59:49.074
oyster,29.0,95.0,19.0,63.0,2024-12-29 08:59:54.336
oyster,29.0,94.9,18.0,61.0,2024-12-29 08:59:59.479
oyster,29.0,94.9,18.0,62.0,2024-12-29 09:00:04.785
oyster,29.0,95.0,18.0,63.0,2024-12-29 09:00:09.932
oyster,29.0,94.9,18.0,62.0,2024-12-29 09:00:15.304
oyster,29.0,95.0,19.0,65.0,2024-12-29 09:00:20.662
oyster,29.0,95.0,18.0,62.0,2024-12-29 09:00:26.031
oyster,29.0,94.9,21.0,62.0,2024-12-29 09:00:31.160
oyster,29.0,95.0,19.0,61.0,2024-12-29 09:00:36.476
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:00:41.607
oyster,29.0,94.8,19.0,62.0,2024-12-29 09:00:47.067
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:00:52.345
oyster,29.0,94.9,18.0,60.0,2024-12-29 09:00:57.481
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:01:02.752
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:01:08.050
oyster,29.0,95.0,18.0,62.0,2024-12-29 09:01:13.348
oyster,29.0,94.9,18.0,60.0,2024-12-29 09:01:18.580
oyster,29.0,94.9,18.0,60.0,2024-12-29 09:01:23.777
oyster,29.0,94.9,18.0,60.0,2024-12-29 09:01:29.127
oyster,29.1,94.9,18.0,61.0,2024-12-29 09:01:34.355
oyster,29.0,94.9,18.0,60.0,2024-12-29 09:01:39.669
oyster,29.0,95.0,19.0,61.0,2024-12-29 09:01:45.047
oyster,29.1,94.9,18.0,61.0,2024-12-29 09:01:50.450
oyster,29.1,95.1,18.0,60.0,2024-12-29 09:01:55.647
oyster,29.0,94.8,18.0,61.0,2024-12-29 09:02:01.070
oyster,29.0,94.9,18.0,60.0,2024-12-29 09:02:06.207
oyster,29.0,94.8,19.0,62.0,2024-12-29 09:02:11.327
oyster,29.1,94.9,19.0,65.0,2024-12-29 09:02:16.458
oyster,29.1,94.9,19.0,66.0,2024-12-29 09:02:21.685
oyster,29.0,95.0,18.0,62.0,2024-12-29 09:02:26.847
oyster,29.1,95.0,18.0,60.0,2024-12-29 09:02:32.100
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:02:37.374
oyster,29.1,94.9,18.0,62.0,2024-12-29 09:02:42.658
oyster,29.0,95.0,19.0,63.0,2024-12-29 09:02:48.065
oyster,29.1,94.9,18.0,62.0,2024-12-29 09:02:53.288
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:02:58.518
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:03:03.735
oyster,29.1,94.9,17.0,64.0,2024-12-29 09:03:09.056
oyster,29.1,94.8,19.0,64.0,2024-12-29 09:03:14.381
oyster,29.0,94.9,19.0,63.0,2024-12-29 09:03:19.618
oyster,29.1,95.0,18.0,60.0,2024-12-29 09:03:24.779
oyster,29.1,94.9,18.0,62.0,2024-12-29 09:03:30.002
oyster,29.1,94.8,20.0,64.0,2024-12-29 09:03:35.150
oyster,29.1,94.9,17.0,63.0,2024-12-29 09:03:40.446
oyster,29.1,94.8,19.0,63.0,2024-12-29 09:03:45.697
oyster,29.1,94.9,20.0,66.0,2024-12-29 09:03:50.998
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:03:56.184
oyster,29.1,94.8,17.0,60.0,2024-12-29 09:04:01.469
oyster,29.0,94.8,19.0,63.0,2024-12-29 09:04:06.587
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:04:11.859
oyster,29.1,94.8,18.0,59.0,2024-12-29 09:04:17.564
oyster,29.1,94.8,18.0,59.0,2024-12-29 09:04:22.963
oyster,29.1,94.9,18.0,61.0,2024-12-29 09:04:28.220
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:04:33.673
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:04:38.973
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:04:44.554
oyster,29.1,94.8,19.0,62.0,2024-12-29 09:04:49.710
oyster,29.1,94.9,19.0,63.0,2024-12-29 09:04:55.060
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:05:00.272
oyster,29.1,94.7,19.0,64.0,2024-12-29 09:05:05.713
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:05:11.027
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:05:16.251
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:05:21.377
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:05:26.939
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:05:32.079
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:05:37.650
oyster,29.1,94.7,18.0,60.0,2024-12-29 09:05:42.931
oyster,29.1,94.7,19.0,62.0,2024-12-29 09:05:48.096
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:05:53.269
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:05:58.650
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:06:04.180
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:06:09.542
oyster,29.1,94.7,19.0,62.0,2024-12-29 09:06:14.703
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:06:20.279
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:06:25.653
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:06:30.824
oyster,29.1,94.7,19.0,62.0,2024-12-29 09:06:36.133
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:06:41.349
oyster,29.1,94.9,18.0,62.0,2024-12-29 09:06:46.636
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:06:51.763
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:06:56.930
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:07:02.339
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:07:07.653
oyster,29.1,94.6,18.0,62.0,2024-12-29 09:07:13.150
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:07:20.684
oyster,29.1,94.9,19.0,62.0,2024-12-29 09:07:25.968
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:07:31.125
oyster,29.1,94.7,19.0,62.0,2024-12-29 09:07:36.464
oyster,29.1,94.6,19.0,63.0,2024-12-29 09:07:41.812
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:07:47.091
oyster,29.1,94.6,18.0,62.0,2024-12-29 09:07:52.456
oyster,29.1,94.8,18.0,62.0,2024-12-29 09:07:57.638
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:08:02.786
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:08:08.291
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:08:13.627
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:08:18.911
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:08:24.033
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:08:29.438
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:08:34.704
oyster,29.1,94.6,19.0,63.0,2024-12-29 09:08:40.087
oyster,29.1,94.7,19.0,62.0,2024-12-29 09:08:45.202
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:08:50.336
oyster,29.1,94.7,18.0,63.0,2024-12-29 09:08:55.841
oyster,29.0,94.7,19.0,63.0,2024-12-29 09:09:01.275
oyster,29.1,94.7,18.0,63.0,2024-12-29 09:09:06.626
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:09:11.891
oyster,29.1,94.6,19.0,62.0,2024-12-29 09:09:17.348
oyster,29.1,94.6,19.0,63.0,2024-12-29 09:09:22.527
oyster,29.0,94.7,18.0,62.0,2024-12-29 09:09:28.287
oyster,29.1,94.6,19.0,63.0,2024-12-29 09:09:33.720
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:09:38.888
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:09:44.034
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:09:49.284
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:09:57.202
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:10:02.526
oyster,29.1,94.7,18.0,62.0,2024-12-29 09:10:07.663
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:10:13.018
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:10:18.462
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:10:23.781
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:10:29.058
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:10:34.358
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:10:39.803
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:10:45.379
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:10:50.734
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:10:56.021
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:11:01.264
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:11:07.088
oyster,29.1,94.7,18.0,60.0,2024-12-29 09:11:12.485
oyster,29.0,94.7,18.0,61.0,2024-12-29 09:11:17.756
oyster,29.0,94.7,18.0,61.0,2024-12-29 09:11:23.162
oyster,29.0,94.8,19.0,62.0,2024-12-29 09:11:28.837
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:11:34.465
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:11:39.761
oyster,29.0,94.7,18.0,61.0,2024-12-29 09:11:45.086
oyster,29.0,94.7,18.0,61.0,2024-12-29 09:11:50.424
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:11:55.830
oyster,29.0,94.8,18.0,61.0,2024-12-29 09:12:01.259
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:12:06.896
oyster,29.1,94.8,18.0,60.0,2024-12-29 09:12:12.314
oyster,29.0,94.7,18.0,61.0,2024-12-29 09:12:17.854
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:12:23.277
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:12:28.714
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:12:34.059
oyster,29.0,94.7,18.0,62.0,2024-12-29 09:12:39.248
oyster,29.1,94.7,18.0,61.0,2024-12-29 09:12:44.577
oyster,29.1,94.9,18.0,61.0,2024-12-29 09:12:49.876
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:12:55.141
oyster,29.0,94.8,19.0,62.0,2024-12-29 09:13:00.648
oyster,29.0,94.8,19.0,62.0,2024-12-29 09:13:06.108
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:13:11.560
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:13:17.039
oyster,29.0,94.8,19.0,62.0,2024-12-29 09:13:22.512
oyster,29.0,94.7,18.0,62.0,2024-12-29 09:13:27.655
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:13:32.853
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:13:38.030
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:13:43.390
oyster,29.1,94.8,18.0,61.0,2024-12-29 09:13:48.807
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:13:54.068
oyster,29.0,94.8,19.0,62.0,2024-12-29 09:13:59.673
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:14:05.115
oyster,29.0,94.7,18.0,62.0,2024-12-29 09:14:10.250
oyster,29.0,94.8,19.0,62.0,2024-12-29 09:14:15.404
oyster,29.0,94.7,18.0,61.0,2024-12-29 09:14:20.716
oyster,29.0,94.7,18.0,62.0,2024-12-29 09:14:26.084
oyster,29.0,94.8,18.0,62.0,2024-12-29 09:14:31.399
oyster,29.0,94.9,18.0,60.0,2024-12-29 09:14:36.680
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:14:42.079
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:14:47.328
oyster,29.0,94.9,18.0,60.0,2024-12-29 09:14:52.473
oyster,29.0,94.9,18.0,61.0,2024-12-29 09:14:57.732
oyster,28.9,94.7,19.0,63.0,2024-12-29 09:15:03.122
oyster,28.9,94.3,18.0,62.0,2024-12-29 09:15:08.348
oyster,28.9,94.2,18.0,61.0,2024-12-29 09:15:13.575
oyster,28.9,94.0,18.0,63.0,2024-12-29 09:15:19.097
oyster,28.9,93.6,18.0,62.0,2024-12-29 09:15:24.458
oyster,28.8,93.2,19.0,65.0,2024-12-29 09:15:29.956
oyster,28.8,92.8,19.0,65.0,2024-12-29 09:15:35.798
oyster,28.8,92.5,19.0,64.0,2024-12-29 09:15:41.573
oyster,28.8,92.3,18.0,61.0,2024-12-29 09:15:46.848
oyster,28.7,90.3,18.0,62.0,2024-12-29 09:15:52.672
oyster,28.7,89.4,18.0,63.0,2024-12-29 09:15:58.026
oyster,28.6,89.2,18.0,62.0,2024-12-29 09:16:13.381
oyster,28.5,88.6,18.0,61.0,2024-12-29 09:16:18.594
oyster,28.5,88.7,18.0,63.0,2024-12-29 09:16:23.817
oyster,28.5,89.1,18.0,62.0,2024-12-29 09:16:28.958
oyster,28.4,88.8,19.0,64.0,2024-12-29 09:16:34.192
oyster,28.4,88.3,19.0,63.0,2024-12-29 09:16:39.633
oyster,28.4,88.5,18.0,63.0,2024-12-29 09:16:45.140
oyster,28.4,88.6,18.0,63.0,2024-12-29 09:16:50.333
oyster,28.4,88.2,18.0,63.0,2024-12-29 09:16:55.873
oyster,28.3,87.5,18.0,63.0,2024-12-29 09:17:01.098
oyster,28.3,87.3,19.0,64.0,2024-12-29 09:17:06.475
oyster,28.3,87.6,18.0,62.0,2024-12-29 09:17:11.925
oyster,28.3,87.2,18.0,62.0,2024-12-29 09:17:17.389
oyster,28.3,87.5,18.0,63.0,2024-12-29 09:17:22.743
oyster,28.3,87.2,18.0,62.0,2024-12-29 09:17:27.891
oyster,28.2,87.3,18.0,61.0,2024-12-29 09:17:33.279
oyster,28.2,87.7,19.0,63.0,2024-12-29 09:17:38.668
oyster,28.2,87.0,19.0,65.0,2024-12-29 09:17:44.261
oyster,28.2,87.5,18.0,63.0,2024-12-29 09:17:49.737
oyster,28.2,87.6,18.0,63.0,2024-12-29 09:17:55.070
oyster,28.1,85.4,18.0,62.0,2024-12-29 09:18:00.394
oyster,28.1,85.6,19.0,62.0,2024-12-29 09:18:05.603
oyster,28.2,85.9,19.0,62.0,2024-12-29 09:18:10.729
oyster,28.2,85.6,18.0,62.0,2024-12-29 09:18:15.997
oyster,28.1,85.7,18.0,61.0,2024-12-29 09:18:21.425
oyster,28.1,86.3,18.0,61.0,2024-12-29 09:18:26.575
oyster,28.1,86.5,18.0,61.0,2024-12-29 09:18:31.868
